"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 07 11:21:45 GMT 2025","Wed May 07 11:21:46 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_is_self_signed","Test if the certificate is correctly identified as self-signed."
"failed","Wed May 07 11:21:53 GMT 2025","Wed May 07 11:21:53 GMT 2025","580","","","","","","Auto-generation with different configurations -- @1.1 ",""
"broken","Wed May 07 11:21:38 GMT 2025","Wed May 07 11:21:39 GMT 2025","576","","","","","","Handle non-existent identities",""
"passed","Wed May 07 11:21:44 GMT 2025","Wed May 07 11:21:44 GMT 2025","87","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_certificate_policies_multiple_entries","Test that policy extensions with multiple qualifier entries are parsed and stored correctly in the database."
"passed","Wed May 07 11:21:44 GMT 2025","Wed May 07 11:21:44 GMT 2025","80","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_extended_key_usage_ext","Test that the ExtendedKeyUsage extension is parsed and stored correctly in the database."
"failed","Wed May 07 11:21:45 GMT 2025","Wed May 07 11:21:45 GMT 2025","31","","","","","","Delete an identity -- @1.2 ",""
"passed","Wed May 07 11:21:42 GMT 2025","Wed May 07 11:21:42 GMT 2025","4","trustpoint.devices.tests","test_model_delete","","","","test_ca_delete_with_issued_certificates","Tests that a CA can be deleted only if it has no associated domains and no issued unexpired certificates."
"failed","Wed May 07 11:22:06 GMT 2025","Wed May 07 11:22:07 GMT 2025","587","","","","","","Secure handling of certificate templates",""
"passed","Wed May 07 11:21:44 GMT 2025","Wed May 07 11:21:44 GMT 2025","85","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_authority_information_access_extension","Test that the AIA extension is parsed and stored correctly in the database."
"failed","Wed May 07 11:21:34 GMT 2025","Wed May 07 11:21:35 GMT 2025","575","","","","","","Create a new identity -- @1.2 ",""
"failed","Wed May 07 11:21:45 GMT 2025","Wed May 07 11:21:45 GMT 2025","31","","","","","","Successfully create a new identity -- @1.1 ",""
"passed","Wed May 07 11:21:46 GMT 2025","Wed May 07 11:21:46 GMT 2025","0","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_serial_number","Test if the serial number is correctly saved."
"failed","Wed May 07 11:21:56 GMT 2025","Wed May 07 11:21:56 GMT 2025","37","","","","","","Language setting persists after logout -- @1.1 ",""
"failed","Wed May 07 11:22:07 GMT 2025","Wed May 07 11:22:08 GMT 2025","588","","","","","","Unauthorized deletion attempt",""
